Exercise,Sets,Reps,Weight,,Speed,Distance,Distance Unit,Duration,Duration Unit,Calories,Rest,Notes,
,,,,,,,,,,,,,
=== CARDIO MACHINES ===,,,,,,,,,,,,,
Rowing Machine,,,,,,1000,m,,min,,,,
Ski Erg,,,,,,1000,m,,min,,,,
Assault Bike,,,,,,,,,min,15,,,
Treadmill Walk or Jog,,,,,,3,mi,,,min,,,
Treadmill Incline Walk,,,,,,2,mi,,,min,,,Incline 10-15%
Stationary Bike,,,,,,,,15,min,,,,
Elliptical,,,,,,,,15,min,,,,
Echo Bike,,,,,,,,,min,15,,,
Spin Bike,,,,,,,,15,min,,,,
Stair Climber,,,,,,,,15,min,,,,
StairMaster,,,,,,,,15,min,,,,
VersaClimber,,,,,,,,10,min,,,,
Jacob's Ladder,,,,,,,,10,min,,,,
Concept2 BikeErg,,,,,,,m,10,min,,,,
,,,,,,,,,,,,,
=== CARRIES ===,,,,,,,,,,,,,
Farmers Carry,4,,70,,,40,yd,60,sec,,,,
Suitcase Carry,3,,35,,,40,yd,30,sec,,,each hand,
Barbell Front Rack Carry,3,,95,,,40,yd,,sec,,,,
Barbell Overhead Carry,3,,65,,,30,yd,,sec,,,,
Barbell Zercher Carry,3,,95,,,40,yd,,sec,,,,
Dumbbell Farmer Carry,4,,50,,,40,yd,60,sec,,,,
Dumbbell Suitcase Carry,3,,35,,,30,yd,,sec,,,each hand,
Dumbbell Front Rack Carry,3,,35,,,30,yd,,sec,,,,
Dumbbell Goblet Carry,3,,40,,,30,yd,,sec,,,,
Dumbbell Offset Carry,3,,40,,,30,yd,,sec,,,each side,
Overhead Plate Carry,3,,25,,,30,yd,,sec,,,,
Waiter Carry,3,,25,,,30,yd,,sec,,,each hand,
Sandbag Clean and Carry,3,,80,,,40,yd,,sec,,,,
,,,,,,,,,,,,,
=== SLED WORK ===,,,,,,,,,,,,,
Forward Sled Push,4,,90,,,40,yd,,sec,,60s,,
Forward Sled Drag,4,,90,,,40,yd,,sec,,60s,,
Forward Sled Pull,4,,70,,,40,yd,,sec,,60s,,
Backward Sled Drag,4,,70,,,40,yd,,sec,,60s,,
Sled Push + Sprint,3,,90,,,40,yd,,sec,,90s,,
,,,,,,,,,,,,,
=== JUMPS & PLYOMETRICS ===,,,,,,,,,,,,,
Box Jumps,3,5,,,,,,,sec,,,,
Box Jump + Step Down,3,5,,,,,,,sec,,,,
Squat Jump,3,8,,,,,,,sec,,,,
Star Jumps,3,8,,,,,,,sec,,,,
Tuck Jumps,3,6,,,,,,,sec,,,,
Vertical Jumps,3,5,,,,,,,sec,,,,
Repeat Broad Jumps,3,5,,,,,,,sec,,,,
Depth Jumps,3,4,,,,,,,sec,,90s,,
Butt Kicker Jumps,3,10,,,,,,,sec,,,,
,,,,,,,,,,,,,
=== BURPEES & BODYWEIGHT CONDITIONING ===,,,,,,,,,,,,,
Burpees,3,10,,,,,,,sec,,,,
8 Count Burpee,3,8,,,,,,,sec,,,,
Burpee Pull-Ups,3,6,,,,,,,sec,,,,
Burpee Box Jump Overs,3,6,,,,,,,sec,,,,
Bear Crawl,3,,,,,30,yd,,sec,,,,
Mountain Climbers,3,20,,,,,,,sec,,,each leg,
,,,,,,,,,,,,,
=== BATTLE ROPES ===,,,,,,,,,,,,,
Battle Rope Slams,3,,,,,,,,30,sec,,30s,
Battle Rope + Squat Combo,3,,,,,,,,30,sec,,30s,
,,,,,,,,,,,,,
=== MEDICINE BALL ===,,,,,,,,,,,,,
Med Ball Slams,3,10,20,,,,,,sec,,,,
Med Ball Chest Pass,3,10,14,,,,,,sec,,,,
Med Ball Rotational Throws,3,8,14,,,,,,sec,,,each side,
Med Ball Overhead Throws,3,8,14,,,,,,sec,,,,
Med Ball Squat to Press,3,10,14,,,,,,sec,,,,
Med Ball Wood Chops,3,10,10,,,,,,sec,,,each side,
Med Ball Russian Twists,3,20,10,,,,,,sec,,,total,
Med Ball Rainbow Slams,3,10,10,,,,,,sec,,,each side,
,,,,,,,,,,,,,
=== AGILITY & LADDER ===,,,,,,,,,,,,,
Ladder Quick Feet,3,,,,,,,,sec,,,,
Ladder Icky Shuffle,3,,,,,,,,sec,,,,
Lateral Shuffle,3,,,,,,20,yd,,sec,,,each direction
Carioca/Grapevine,3,,,,,,20,yd,,sec,,,each direction
Cone Weave,3,,,,,,,,sec,,,,
,,,,,,,,,,,,,
=== SPRINTS ===,,,,,,,,,,,,,
Stair Sprint Intervals,4,,,,,,,,sec,,60s,,
Shuttle Sprint + Push-Ups,4,,,,,,20,yd,,sec,,60s,
Bear Crawl + Sprint,3,,,,,,20,yd,,sec,,60s,
Jog,,,,,,,200,yd,,,,,,
Slow Sprint/Fast Jog,,,,,,,400,yd,,,,,,
,,,,,,,,,,,,,
=== CORE (COMMON) ===,,,,,,,,,,,,,
Plank,3,,,,,,,,30,sec,,,
Side Plank,3,,,,,,,,20,sec,,,each side
Dead Bug,3,10,,,,,,,sec,,,,
Bird Dog,3,10,,,,,,,sec,,,each side,
Hollow Body Hold,3,,,,,,,,20,sec,,,
Russian Twists,3,20,,,,,,,sec,,,total,
V-Ups,3,12,,,,,,,sec,,,,
Bicycle Crunches,3,20,,,,,,,sec,,,total,
Leg Raises,3,12,,,,,,,sec,,,,
Flutter Kicks,3,20,,,,,,,sec,,,each leg,
Mountain Climbers,3,20,,,,,,,sec,,,each leg,
Ab Rollout,3,10,,,,,,,sec,,,,
